4K8K频道,#genre#
CCTV-10-HEVC,http://192.168.2.131:35455/itv/1000000005000265010.m3u8?cdn=ystenlive
cctv11-高码,http://192.168.2.131:35455/gaoma/cctv11.m3u8
CCTV-11-50-FPS,http://192.168.2.131:35455/itv/5000000011000031106.m3u8?cdn=bestzb
CCTV-11-HEVC,http://192.168.2.131:35455/itv/1000000005000265011.m3u8?cdn=ystenlive
cctv12-高码,http://192.168.2.131:35455/gaoma/cctv12.m3u8
CCTV-12,http://192.168.2.131:35455/itv/1000000001000032494.m3u8?cdn=ystenlive
CCTV-12-50-FPS,http://192.168.2.131:35455/itv/6000000001000022586.m3u8?cdn=wasusyt
CCTV-12-HEVC,http://192.168.2.131:35455/itv/1000000005000265012.m3u8?cdn=ystenlive
cctv13-高码,http://192.168.2.131:35455/gaoma/cctv13.m3u8
CCTV-13-50-FPS,http://192.168.2.131:35455/itv/5000000011000031108.m3u8?cdn=bestzb
cctv14-高码,http://192.168.2.131:35455/gaoma/cctv14.m3u8
CCTV-14,http://192.168.2.131:35455/itv/1000000001000008170.m3u8?cdn=ystenlive
CCTV-14-50-FPS,http://192.168.2.131:35455/itv/5000000004000006673.m3u8?cdn=bestzb
CCTV-14-HEVC,http://192.168.2.131:35455/itv/1000000005000265013.m3u8?cdn=ystenlive
cctv15-高码,http://192.168.2.131:35455/gaoma/cctv15.m3u8
CCTV-15-50-FPS,http://192.168.2.131:35455/itv/5000000011000031109.m3u8?cdn=bestzb
CCTV-15-HEVC,http://192.168.2.131:35455/itv/1000000005000265014.m3u8?cdn=ystenlive
cctv16-高码,http://192.168.2.131:35455/gaoma/cctv16.m3u8
CCTV-16,http://192.168.2.131:35455/itv/1000000006000233002.m3u8?cdn=ystenlive
cctv17-高码,http://192.168.2.131:35455/gaoma/cctv17.m3u8
CCTV-17,http://192.168.2.131:35455/itv/1000000006000268004.m3u8?cdn=ystenlive
CCTV-17-HEVC,http://192.168.2.131:35455/itv/1000000005000265015.m3u8?cdn=ystenlive
世界地理,http://192.168.2.131:35455/rptv/G_SHIJIEDL-CQ.m3u8?license=gitv
风云剧场,http://192.168.2.131:35455/rptv/G_FENGYUNJC-CQ.m3u8?license=gitv
风云足球,http://192.168.2.131:35455/rptv/G_FENGSHANGZQ-CQ.m3u8?license=gitv
风云音乐,http://192.168.2.131:35455/rptv/G_FENGYUNYY-CQ.m3u8?license=gitv
兵器科技,http://192.168.2.131:35455/rptv/G_BINGQIKJ-CQ.m3u8?license=gitv
央视台球,http://192.168.2.131:35455/rptv/G_TAIQIU-CQ.m3u8?license=gitv
高尔夫网球,http://192.168.2.131:35455/rptv/G_CCTV-GOLF-CQ.m3u8?license=gitv
女性时尚,http://192.168.2.131:35455/rptv/G_NVXINGSS-CQ.m3u8?license=gitv
电视指南,http://192.168.2.131:35455/rptv/G_DIANSHIZN-CQ.m3u8?license=gitv
